Channel,BaselineMean,BaselineRMS,RMSMean,RMSRMS,Entries
tq05_r1,-43757.2,0.217818,1.80887,0.0162818,10353
tq05_r2,-43743,0.203801,1.78803,0.0161894,10353
tq05_r3,-43812.8,0.206285,1.79457,0.0161656,10353
tq05_r4,-43762.7,0.216656,2.04843,0.0175064,10353
tq05_r5l,-43773.4,0.229559,1.795,0.0164124,10353
tq05_r5c,-43838.4,0.208007,1.75584,0.0157206,10353
tq05_r5r,-43449.8,0.205309,1.81552,0.0163273,10353
tq05_r6,-43619.8,0.237061,1.85862,0.0166216,10353
tq06_r1,-43677.4,0.221195,1.80168,0.0161339,10353
tq06_r2,-43451.5,0.216098,1.79358,0.0162345,10353
tq06_r3,-43708.9,0.232138,1.78474,0.0160402,10353
tq06_r4,-43630.6,0.219964,1.83991,0.0160993,10353
tq06_r5l,-43866.7,0.207379,1.85322,0.0165256,10353
tq06_r5c,-43437.6,0.219945,1.77906,0.0162811,10353
tq06_r5r,-43578.8,0.222324,1.77881,0.015888,10353
tq06_r6,-43817.1,0.198272,1.76639,0.0159109,10353
